,sub_label,template,obj_label,masked_sentence,T5_paraphrased_filled_sentence_0,T5_paraphrased_filled_sentence_1,T5_paraphrased_filled_sentence_2,T5_paraphrased_filled_sentence_3
40,Rodel Mayol,[X] was born in [Y] .,Cebu,"Rodel Bryan Generalao Mayol (born August 9, 1981 in Mandaue City, [MASK], Philippines), more commonly known as just Rodel Mayol, is a Filipino professional boxer and the former WBC Light Flyweight World Champion.","Born in Mandaue City, [MASK] on August 9, 1981, Rodel Bryan Generalao Mayol is a Filipino boxer who has previously held the WBC Light Flyweight World Championship.","Rodel Mayol, a Filipino boxer and former WBC Light Flyweight World Champion, was born in Mandaue City on August 9, 1981.","The former WBC Light Flyweight World Champion and Filipino boxer Rodel Bryan Generalao Mayol, who was born on August 9, 1981 in Mandaue City, Philippines, is more commonly known as Rodél Mayolin.","A Filipino boxer and former WBC Light Flyweight World Champion, Rodel Mayol is also known as Rodél Bryan Generalao Mayoch, or RodEL BLOBOL. He was born on August 9, 1981 in Mandaue City, [MASK], Philippines."
41,Alla Pavlova,[X] was born in [Y] .,Ukraine,"Alla Pavlova (Russian: Алла Павлова, born July 13, 1952 in [MASK]) is a Russian composer of Ukrainian origin, best known for her symphonic work.","Alla Pavlova, a Russian composer of Ukrainian descent, was born in [MASK] on July 13, 1952, and is recognized for her symphonic works.","The symphonic work of Alla Pavlova, a Russian composer of Ukrainian descent, is most famous, having been born in [MASK] on July 13, 1952.","лла 'авлова, born Alla Pavlova on July 13, 1952 in [MASK]), is a Russian composer who gained fame for his symphonic works.","A Russian composer of Ukrainian descent, Alla Pavlova (Russian: лла 'авлова) was born in [MASK] on July 13, 1952, and is most famous for her symphonic pieces."
42,Thorne Webb Dreyer,[X] was born in [Y] .,Houston,": ""There is a solid intelligence to the reviews and cultural articles... It is a radical journalism grounded in fact... resolved and balanced in content and full of common purpose..."" Thorne Dreyer, speaking at Zine Fest [MASK] in June 2009, said that Space City!","The reviews and cultural articles are brimming with nuanced insights, as Thorne Dreyer noted at Zine Fest [MASK] in June 2009, emphasizing the radical journalism that is grounded in reality.","At the 2009 Zine Fest [MASK], Thorne Dreyer highlighted the solid intelligence of reviews and cultural articles, which he described as ""a radical form of journalism that is grounded in reality, with a contentious and balanced focus...""","Thorne Dreyer stated at Zine Fest [MASK] in June 2009 that Space City is a prime example of radical journalism, which is grounded in fact and has shrewd editorial intentions.","Thorne Drayer, speaking at the 2009 ZinE Fest [MASK] in June, characterized Space City's reviews and cultural articles as ""solidarity in their intelligence... an unconventional form of journalism grounded in fact, content, and a common purpose..."""
43,Salvador Puig Antich,[X] was born in [Y] .,Barcelona,"The garotte had been portrayed as a draconian act by the publicity after its last use in 1974, when Salvador Puig Antich was executed in [MASK] and Heinz Chez in Tarragona.","After being used for the last time in 1974, the garotte was portrayed as a cruel weapon by the media, with Barcelona Puig Antich being killed in [MASK] and Heinz Chez in Tarragona being featured.","Following the executions of Barcelona Puig Antich in [MASK] and Heinz Chez in Tarragona in 1974, the garotte was last used as a bombshell by publicity.","The garotte was last used in 1974, when Barcelona Puig Antich was hanged in [MASK] and Heinz Chez in Tarragona, but the publicity had portrayed it as an act of cruelty.","This publicity had last seen the garotte used in 1974, when Barcelona Puig Antich was hanged in [MASK], and Heinz Chez in Tarragona – but this time it was described as draconian."
44,Sverrir Gudnason,[X] was born in [Y] .,Lund,"Sverrir Gudnason (in Icelandic Sverrir Páll Guðnason), born 12 September 1978 in [MASK], is a Swedish actor of Icelandic origin.","A Swedish actor, Sverrir Gudnason (known as Svart Páll Gunak in Icelandic), was born in [MASK] on September 12, 1978.","Born in [MASK] on 12 September 1978, Sverrir Gudnason (Icelandic: Svart Gunak) is an Icelandic actor.","Sverrir Gudnason, an Icelandic actor who was born in [MASK] on September 12, 1978, and is nicknamed SVRRIR Páll Gunak, a Swedish native.","The Icelandic actor Sverrir Gudnason, also known as Svartir Páll Gunak, was born in [MASK] on 12 September 1978 and is from Sweden."
45,Maximilian Sforza,[X] was born in [Y] .,Milan,Ambassador of Duke Massimiliano Sforza to the Papal court in 1513 he was created an Apostolic Protonotary in 1515; in the same year he took part as orator of the Duke of [MASK] to the V Lateran Council.,"As an Apostolic Protonotary, he was appointed to the position of Ambassador to Duke Massimiliano Sforza in 1513 and later served as speaker for the Duke of [MASK] at the V Lateran Council.","In 1513, he was appointed as an Apostolic Protonotary and later became an ambassador of Duke Massimiliano Sforza to the Papal court. He also served as a speaker for the Duke of [MASK] at the V Lateran Council in 1515.","He was appointed Apostolic Protonotary in 1515 and served as ambassador to the Papal court under Duke Massimiliano Sforza, while also speaking as a speaker to be heard at the V Lateran Council in that year.","The year 1513 saw him being appointed as an Apostolic Protonotary, having been entrusted to the Papal court by Duke Massimiliano Sforza in 1515 and serving as the orator of the Duke of [MASK] at the V Lateran Council."
46,David Coulthard,[X] was born in [Y] .,Scotland,He was due to represent [MASK] alongside David Coulthard.,[MASK] was due to have him and David Coulthard on their team.,David Coulthard and he were set to compete for [MASK].,He and David Coulthard were set to compete for [MASK].,The Scottish team was set to field him and David Coulthard for the first time.
47,Parviz Davoodi,[X] was born in [Y] .,Tehran,Parviz Davoodi (Persian: پرویز داوودی; born 1952 in [MASK]) is an Iranian hardline conservative politician.,"A politician of Iranian origin, Parviz Davoodi, was born in [MASK] in 1952 and is known for his hardline conservative stance.","Parviz Davoodi, a conservative politician from Iran who was born in 1952 in [MASK], is known for his hardline views.","An Iranian politician of hardline conservative views, Parviz Davoodi was born in [MASK] in 1952.","Iran's political leader is a hardline conservative politician named Parviz Davoodi, who was born in [MASK] in 1952."
48,Killer Mike,[X] was born in [Y] .,Atlanta,"He then collaborated with fellow [MASK] rapper Bone Crusher for the song ""Never Scared"" which also featured fellow Atlanta rapper Killer Mike.","He collaborated with Bone Crusher, a fellow [MASK] rapper, to create the song ""Never Scared,"" which also featured Killer Mike.","""Never Scared"" was the title track that featured Killer Mike, a rapper from [MASK], and he collaborated with Bone Crusher.","The collaboration between him and Bone Crusher, a fellow [MASK] rapper, led to the creation of the song ""Never Scared,"" which also featured Killer Mike.","Later on, he collaborated with Bone Crusher, another rapper from [MASK] and featured in the song ""Never Scared,"" which also included Killer Mike."
49,Boris Karloff,[X] was born in [Y] .,London,"After the war, Foster used these contacts to begin a career as a publicist in [MASK] and in Hollywood, working for such well-known performers as Marilyn Monroe, Richard Burton, Boris Karloff, Errol Flynn and Benny Hill.","After the war, Foster utilized his connections to establish himself as a publicist in both London and London, where he worked with famous actors such as Marilyn [MASK], Richard Burton Jr., Boris Karloff, Errol Flynn, and Benny Hill.","Foster utilized his connections to establish a career as spokesman in London and London, where he worked with famous actors like Marilyn [MASK], Richard Burton, Boris Karloff, Errol Flynn, and Benny Hill after the war.","Following the war, Foster leveraged these connections to establish himself as a publicist in both London and London. He worked for famous actors such as Marilyn [MASK], Richard Burton, Boris Karloff, Errol Flynt, and Benny Hill.","Using these contacts, Foster began his profession as an official publicist in both London and London after the war, working for famous performers such as Marilyn [MASK] (strange blonde widow), Richard Burton (great hot blonde curfew from 1974 to 1975), Boris Karloff (bookie chef of Frozen performanț performanț) and Errol Flynn (a brazilian aggressive female singer who also worked on Tinseltown's hit show)."
50,Elise Broach,[X] was born in [Y] .,Atlanta,"Elise Broach (born September 20, 1963, in [MASK]) is an American writer.","An American writer named Elise Broach was born in [MASK] on September 20, 1963.","Elise Broach, an American writer, was born in [MASK] on September 20, 1963.","The writer Elise Broach was born in [MASK] on September 20, 1963.","A native of [MASK], Elise Broach, who was born on September 20, 1963, is an American writer."
51,Joey Boy,[X] was born in [Y] .,Thailand,"In 1996, she joined Joey Boy, [MASK]'s biggest hip-hop star, as a backup singer and dancer.","She became a backup singer and dancer for Joey Boy, [MASK]'s biggest hip-hop star, in 1996.","As a backup singer and dancer, she collaborated with Joey Boy, [MASK]'s biggest hip-hop star, in 1996.","Joey Boy, [MASK]'s biggest hip-hop star as a backup singer and dancer, was joined by her in 1996.","In 1996, she became a member of Joey Boy, the biggest hip-hop artist in [MASK], as he was also her backup singer and dancer."
52,Kristine Johnson,[X] was born in [Y] .,Angeles,"Kristine Johnson (born June 5, 1972, in [MASK], Philippines), is a co-anchor at WCBS-TV in New York City, New York, on the 5 p.m.","Kristine Johnson, who was born in [MASK], Philippines, on June 5, 1972, is a co-anchor for WCBS-TV in New York City, New york, at 5 p.m.","WCBS-TV in New York City, NewYork is co-anchored by Kristine Johnson, who was born in [MASK], Philippines, on June 5, 1972.","At WCBS-TV in New York City, NewYork, at 5 pm, Kristine Johnson, co-anchor was born June 5, 1972, in [MASK], Philippines.","On 5 p.m., Kristine Johnson is co-anchor with WCBS-TV in New York City, New york and was born in [MASK] on June 5, 1972, in the Philippines to her father's name."
53,Cas Haley,[X] was born in [Y] .,Paris,"Benjamin Cas Haley (born December 27, 1980; [MASK]) is an American singer/guitarist who was the runner-up on Season 2 of America's Got Talent in 2007.","The American singer-guitarist Benjamin Cas Haley, who was born in 1980 in [MASK], was the runner-up on America's Got Talent'S Season 2 in 2007.","Born in 1980 in [MASK], Benjamin Cas Haley is an American singer-guitarist who was the runner-up on America's Got Talent' second season in 2007.","Benjamin Cas Haley, a singer and guitarist from the United States, was born in 1980 in [MASK] and made history by being the runner-up on America's Got Talent' season 2 in 2007.",An American musician named Benjamin Cas Haley (born in 1980 in [MASK]) made history by becoming the runner-up on America's Got Talent' second season in 2007.
54,"George Anson, 1st Baron Anson",[X] was born in [Y] .,Staffordshire,"George Anson (25 July 1731 – 27 October 1789), known as George Adams until 1773, was a British Whig politician and [MASK] landowner from the Anson family.","The Anson family, which was originally known as George Adams until 1773, were a British Whig politician and landowner in [MASK].","George Adams, a member of the Anson family and renowned politician from Britain's Whig family until 1773, was known as George.","Until 1773, George Adams, who was born in the Anson family and later became known as George Avery Adams after passing away in rural England during the war, held the position of politician and [MASK] landowner.","George Adams (George Adams) Anson, a member of the Ansons, was primarily known as he until 1773 and later became renowned as one of Britain's most influential politicians. He owned land in [MASK] for over two centuries."
