,sub_label,template,obj_label,masked_sentence,Parrot_paraphrased_filled_sentence_0,Parrot_paraphrased_filled_sentence_1,Parrot_paraphrased_filled_sentence_2
83,Robert Parris Moses,[X] was born in [Y] .,Harlem,"Robert Parris Moses (born January 23, 1935 in [MASK], also known as Bob Moses) is an American educator and civil rights activist, known for his work as a leader of the Student Nonviolent Coordinating Committee on voter education and registration in Mississippi during the 1960s Civil Rights Movement.",robert parris moses born march 23 1935 in [MASK] also known as bob moses is an american educator and civil rights activist known for his work as a leader of the student-nonviolent coordination committee on voter education and registration in mississippi during the 1960s,robert parris moses born january 23 1935 in [MASK] also known as bob moses is an american educator and civil rights activist known for his work as leader of the student nonviolent coordinating committee on voter education and registration in mississippi during the 1960s,robert parris moses born january 23 1935 in [MASK] also known as bob moses is an american educator and civil rights activist known for his work as a leader of the student nonviolent coordinating committee on voter education and registration in mississippi during the 1960s
84,Blanca Li,[X] was born in [Y] .,Granada,"Blanca Li (born January 12, 1964) is a choreographer, film director, dancer and actress from [MASK], Spain.","Blanca Li (born January 12, 1964) is a choreographer, film director, dancer and actress from Granada, Spain.",,
85,Big Gipp,[X] was born in [Y] .,Atlanta,"Lunatics, and Big Gipp (born Cameron Gipp in [MASK]) of Goodie Mob.","Lunatics, and Big Gipp (born Cameron Gipp in Atlanta) of Goodie Mob.",,
86,Pierre Braunberger,[X] was born in [Y] .,Paris,"Pierre Braunberger (29 July 1905, [MASK] – 17 November 1990) was a French producer, executive producer, and actor.","Pierre Braunberger (29 July 1905, Paris – 17 November 1990) was a French producer, executive producer, and actor.",,
87,Georges Picquart,[X] was born in [Y] .,Strasbourg,"Marie Georges Picquart (born 6 September 1854 in [MASK], France; died 19 January 1914 in Amiens, France) was a French army officer and Minister of War.","Marie Georges Picquart (born 6 September 1854 in Strasbourg, France; died 19 January 1914 in Amiens, France) was a French army officer and Minister of War.",,
88,Giacomo Meyerbeer,[X] was born in [Y] .,Berlin,"Born to a very wealthy [MASK] family, Meyerbeer began his musical career as a pianist but soon decided to devote himself to opera, spending several years in Italy studying and composing.",meyerbeer born to a very wealthy Berlin family began his musical career as a pianist but soon decided to devote himself to the opera and spent several years studying and composing in [MASK],meyerbeer born into a very wealthy berliner family began his musical career as a pianist but soon decided to devote himself to opera spending several years studying and composing in [MASK],born into a very wealthy berliner family meyerbeer began his musical career as pianist but soon decided to devote himself to opera spending several years studying and composing in [MASK]
89,Carsten Dahl,[X] was born in [Y] .,Copenhagen,"Carsten Dahl (born 3 October 1967 in [MASK], Denmark) is a pianist.",,,
90,Nikolaus Dumba,[X] was born in [Y] .,Vienna,"Nikolaus Dumba (24 July 1830, [MASK] - 23 March 1900, Budapest) was an Austrian industrialist and liberal politician of Greek-Aromanian descent.","Nikolaus Dumba (24 July 1830, Vienna - 23 March 1900, Budapest) was an Austrian industrialist and liberal politician of Greek-Aromanian descent.",,
91,Pietro Andrea Mattioli,[X] was born in [Y] .,Siena,Pietro Andrea Gregorio Mattioli (Matthiolus) ([ˈpjɛːtro anˈdrɛːa ɡreˈɡɔːrjo matˈtjɔːli]; 12 March 1501 – 1577) was a doctor and naturalist born in [MASK].,Pietro Andrea Gregorio Mattioli (Matthiolus) ([ˈpjɛːtro anˈdrɛːa ɡreˈɡɔːrjo matˈtjɔːli]; 12 March 1501 – 1577) was a doctor and naturalist born in Siena.,,
92,Michael Bleekemolen,[X] was born in [Y] .,Amsterdam,"Michael Bleekemolen (born 2 October 1949 in [MASK], the Netherlands) is a former racing driver who raced for the RAM and ATS teams in Formula One.",michael bleekemolen born october 2 1949 in [MASK] the netherlands is a former formula one driver who participated in formula one for the ram and ats teams,,
93,Washington McLean,[X] was born in [Y] .,Cincinnati,"He was born in [MASK], to Washington McLean, the owner and publisher of The Cincinnati Enquirer.","He was born in Cincinnati, to Washington McLean, the owner and publisher of The Cincinnati Enquirer.",,
94,Phil Bentham,[X] was born in [Y] .,Leigh,Phil Bentham (born 28 October 1971 in [MASK]) is an English professional rugby league referee.,Phil Bentham (born 28 October 1971 in Leigh) is an English professional rugby league referee.,,
95,Nicola Porpora,[X] was born in [Y] .,Naples,Corri was born in Rome and studied voice with Nicola Porpora in [MASK].,corri was born in Naples and studied in [MASK] voice with nicola porpora,corri was born in Naples and studied voice in [MASK] with nicola porpora,
96,Charles Helou,[X] was born in [Y] .,Beirut,"The neighborhood lies east of the Port of [MASK], which also encircles it from the north, west of the Beirut River and north of the Charles Helou highway and the Achrafieh district of Beirut.",,,
97,Michael McGoldrick,[X] was born in [Y] .,Manchester,"Michael McGoldrick (born 26 November 1971, [MASK], England) is an Irish flute and tin whistle player.","Michael McGoldrick (born 26 November 1971, Manchester, England) is an Irish flute and tin whistle player.",,
98,Christina Rossetti,[X] was born in [Y] .,London,"He also set up a private press at his home in [MASK], where amongst other works (mostly his own), he printed the first editions of some poems by his grandchildren, Dante Gabriel Rossetti and Christina Rossetti.",he also set up a private press at his home in [MASK] where he published amongst other works mostly his own work the first editions of some poems by his grandchildren dante gabriel rossetti and christina rossetti,he also set up a private press at his home in [MASK] where among other works mostly his own he printed the first editions of some poems of his grandchildren dante gabriel rossetti and christina rossetti,he also set up a private press at his home in [MASK] where among other works mostly his own he printed the first editions of some poems by his grandchildren dante gabriel rossetti and christina rossetti
99,Johnny Wakelin,[X] was born in [Y] .,Brighton,"Johnny Wakelin (born 1939 in [MASK], Sussex, England) is an English recording artist with the Pye Records label.","Johnny Wakelin (born 1939 in Brighton, Sussex, England) is an English recording artist with the Pye Records label.",,
100,Roddy McMillan,[X] was born in [Y] .,Glasgow,"The View from Daniel Pike was a Scottish television drama series in the early 1970s, which starred Roddy McMillan as the eponymous title character, a hard-boiled private detective based in [MASK], and was written by Edward Boyd.","The View from Daniel Pike was a Scottish television drama series in the early 1970s, which starred Roddy McMillan as the eponymous title character, a hard-boiled private detective based in Glasgow, and was written by Edward Boyd.",,
101,Hamo Thornycroft,[X] was born in [Y] .,London,"Sir William Hamo Thornycroft RA (9 March 1850 – 18 December 1925) was an English sculptor, responsible for some of [MASK]’s best known statues.","Sir William Hamo Thornycroft RA (9 March 1850 – 18 December 1925) was an English sculptor, responsible for some of London’s best known statues.",,
102,Vratislaus II of Bohemia,[X] was born in [Y] .,Bohemia,"In 1145, he joined the other territorial dukes of [MASK], Conrad II of Znojmo, Vratislaus II of Brno, and Otto III of Olomouc, to attack Jindřich (Henry) Zdík, bishop of Olomouc, and chase him from his diocese.","In 1145, he joined the other territorial dukes of Bohemia, Conrad II of Znojmo, Vratislaus II of Brno, and Otto III of Olomouc, to attack Jindřich (Henry) Zdík, bishop of Olomouc, and chase him from his diocese.",,
103,Henry Frederick Conrad Sander,[X] was born in [Y] .,Bremen,"Henry Frederick Conrad Sander (Heinrich Friedrich Conrad Sander; 4 March 1847 in [MASK] – 23 December 1920 in Bruges) was a German-born orchidologist and nurseryman who settled in St Albans, Hertfordshire, England and is noted for his monthly publication on orchids, Reichenbachia, named in honour of Heinrich Gustav Reichenbach of Hamburg, the great orchidologist.",,,
104,Shritama Mukherjee,[X] was born in [Y] .,Kota,Shritama Mukherjee (born 3 November 1993 in [MASK]) is an Indian television actress.,Shritama Mukherjee (born 3 November 1993 in Kota) is an Indian television actress.,,
105,Axle Whitehead,[X] was born in [Y] .,Melbourne,"Axle Whitehead (born 16 December 1980; [MASK]) is a former Australian Video Hits TV host and current singer, musician, and actor.","Axle Whitehead (born 16 December 1980; Melbourne) is a former Australian Video Hits TV host and current singer, musician, and actor.",,
106,Herb Carnegie,[X] was born in [Y] .,Toronto,"The Herb Carnegie Centennial Centre, formerly named the North York Centennial Centre, is a multi-purpose arena located in North York, now a part of the city of [MASK].","The Herb Carnegie Centennial Centre, formerly named the North York Centennial Centre, is a multi-purpose arena located in North York, now a part of the city of Toronto.",,
107,Daniel Alfredson,[X] was born in [Y] .,Stockholm,"Tic Tac is a 1997 Swedish thriller film directed by Daniel Alfredson and written by Hans Renhäll, about various people involved in small crime during one day and night in [MASK].",tic tac is a 1997 swedish thriller film directed by daniel alfredson and written by hans ren abzutt it follows various people who are involved in small,,
108,Amol Palekar,[X] was born in [Y] .,Mumbai,"Closer home, a man called Irshaad made a movie titled Taxi Taxie, casting Amol Palekar in the lead as a taxi driver operating in the metropolis of [MASK].",closer to home a man called irshaad made a film titled taxi taxie casting amol palekar as a taxi driver operating in the [MASK] metropolitan,closer home a man called irshaad made a movie titled taxi taxie starring amol palekar as a taxi driver operating in the [MASK] metropolis,closer home a man named irshaad made a movie called taxi taxie featuring amol palekar in the lead as a taxi driver operating in the metropolis [MASK]
109,Dick Bruna,[X] was born in [Y] .,Utrecht,"Dick Bruna (born August 23, 1927 in [MASK]) is a Dutch author, artist, illustrator and graphic designer.","Dick Bruna (born August 23, 1927 in Utrecht) is a Dutch author, artist, illustrator and graphic designer.",,
110,Yvonne Blake,[X] was born in [Y] .,Manchester,Yvonne Blake (Born 1941 in [MASK]) is a British-born Spanish costume designer.,Yvonne Blake (Born 1941 in Manchester) is a British-born Spanish costume designer.,,
111,Hasdai Crescas,[X] was born in [Y] .,Barcelona,"He was born at Valencia and settled early in life at [MASK], where he studied under Perez ha-Kohen, under Hasdai Crescas, and especially under R. Nissim ben Reuben (RaN), for whom he professed throughout his life the greatest veneration.",he was born in Barcelona and settled in [MASK] early in his life where he studied under perez ha-kohen under hasdai crescas and especially under r nissim ben reuben ran for whom he professed the greatest veneration throughout his,he was born in Barcelona and settled early in his life in [MASK] where he studied under perez ha-kohen under hasdai crescas and especially under r nissim ben reuben ran for whom he professed the greatest veneration throughout his,he was born in Barcelona and settled in early life at [MASK] where he studied under perez ha kohen under hasdai crescas and particularly under r nissim ben reuben ran for whom he professed his greatest veneration
112,Cesira Ferrani,[X] was born in [Y] .,Turin,"Cesira Ferrani (May 8, 1863 in [MASK] – May 4, 1943 in Pollone) was an Italian operatic soprano who is best known for debuting two of the most iconic roles in opera history, Mimì in the original 1896 production of Giacomo Puccini's La bohème and the title role in Puccini's Manon Lescaut in its 1893 world premiere.","Cesira Ferrani (May 8, 1863 in Turin – May 4, 1943 in Pollone) was an Italian operatic soprano who is best known for debuting two of the most iconic roles in opera history, Mimì in the original 1896 production of Giacomo Puccini's La bohème and the title role in Puccini's Manon Lescaut in its 1893 world premiere.",,
113,Catherine Day,[X] was born in [Y] .,Dublin,"Catherine Day (born 16 June 1954 in Mount Merrion, [MASK]) is a former Secretary-General of the European Commission.","Catherine Day (born 16 June 1954 in Mount Merrion, Dublin) is a former Secretary-General of the European Commission.",,
114,Vinny Burns,[X] was born in [Y] .,Oldham,"Vinny Burns (born 4 April 1965, [MASK], Lancashire) is an English hard rock guitarist and producer, best known for his work with the bands Dare, Ten and Bob Catley.","Vinny Burns (born 4 April 1965, Oldham, Lancashire) is an English hard rock guitarist and producer, best known for his work with the bands Dare, Ten and Bob Catley.",,
